circ;mes;ano;pop_circ
37;4;2003;201182,3218
38;4;2003;197588,8231
39;4;2003;166937,3947
40;4;2003;105600,9774
41;4;2003;135408,6665
44;4;2003;112258,5128
48;4;2003;68592,81037
50;4;2003;88723,99889
51;4;2003;42207,21966
52;4;2003;173516,1839
53;4;2003;168133,0608
54;4;2003;443802,4605
55;4;2003;212674,6279
56;4;2003;258199,8686
57;4;2003;154724,5595
58;4;2003;341670,823
59;4;2003;328982,1192
60;4;2003;264294,0134
61;4;2003;56360,62894
62;4;2003;146963,8186
64;4;2003;451987,2708
65;4;2003;122198,236
66;4;2003;130620,1398
71;4;2003;222705,3163
72;4;2003;317498,7555
73;4;2003;153627,6905
74;4;2003;200875,0409
75;4;2003;247792,7919
76;4;2003;73179,47068
77;4;2003;138764,5808
78;4;2003;120625,642
79;4;2003;69772,45182
81;4;2003;64679,3855
82;4;2003;88307,40225
88;4;2003;90187,45597
89;4;2003;108537,3744
90;4;2003;172667,049
91;4;2003;67787,65989
92;4;2003;7872,056541
93;4;2003;246296,4909
94;4;2003;43526,69649
95;4;2003;32239,28248
96;4;2003;49419,3884
97;4;2003;17464,37506
98;4;2003;12450,39767
99;4;2003;25792,82038
100;4;2003;24460,66039
104;4;2003;19540,97987
105;4;2003;245950,3105
106;4;2003;43137,17495
107;4;2003;38387,44635
108;4;2003;91729,00502
109;4;2003;17257,44944
110;4;2003;144723,0243
111;4;2003;14371,64129
112;4;2003;15852,02857
118;4;2003;90004,5139
119;4;2003;51240,13161
120;4;2003;21288,06813
121;4;2003;25208,7657
122;4;2003;19421,79219
123;4;2003;174819,7365
124;4;2003;57740,28939
125;4;2003;69243,75243
126;4;2003;165906,1463
127;4;2003;20415,38065
128;4;2003;49011,89554
129;4;2003;16923,41086
134;4;2003;267332,7439
135;4;2003;22974,35463
136;4;2003;47775,71467
137;4;2003;27003,05049
138;4;2003;7790,714299
139;4;2003;16430,66162
140;4;2003;23383,57612
141;4;2003;36994,87977
142;4;2003;14713,01426
143;4;2003;121310,1357
144;4;2003;34129,335
145;4;2003;28993,96943
146;4;2003;195755,3315
151;4;2003;175760,0866
152;4;2003;10494,69634
153;4;2003;19833,62488
154;4;2003;24076,13074
155;4;2003;8534,880392
156;4;2003;10433,15238
157;4;2003;10106,42939
158;4;2003;23359,89707
159;4;2003;50057,71141
165;4;2003;27667,05265
166;4;2003;131413,6036
167;4;2003;31560,21688
168;4;2003;16549,01756
1;5;2003;1549,158071
4;5;2003;29866,22159
5;5;2003;35747,719
6;5;2003;76465,54074
7;5;2003;38757,43049
9;5;2003;129260,5669
10;5;2003;97765,77468
12;5;2003;86864,28879
13;5;2003;65785,59097
14;5;2003;84082,39215
15;5;2003;140482,6641
16;5;2003;288270,5821
17;5;2003;76048,88576
18;5;2003;64130,55668
19;5;2003;131963,5181
20;5;2003;155361,1763
21;5;2003;252140,1641
22;5;2003;227062,305
23;5;2003;87355,26709
24;5;2003;91864,94026
25;5;2003;123058,5825
26;5;2003;110259,7096
27;5;2003;179905,3797
28;5;2003;163097,3208
29;5;2003;99221,33278
30;5;2003;119141,7391
31;5;2003;149929,1131
32;5;2003;349488,3063
33;5;2003;230129,7013
34;5;2003;405354,4632
35;5;2003;552459,0973
36;5;2003;295429,049
37;5;2003;201310,2192
38;5;2003;197714,436
39;5;2003;167043,5216
40;5;2003;105668,111
41;5;2003;135494,7497
44;5;2003;112329,8788
48;5;2003;68697,04516
50;5;2003;88938,07438
51;5;2003;42261,12549
52;5;2003;173574,4351
53;5;2003;168135,8515
54;5;2003;444088,9826
55;5;2003;212904,0922
56;5;2003;258286,5491
57;5;2003;154755,3715
58;5;2003;341785,5256
59;5;2003;329251,2958
60;5;2003;264510,2615
61;5;2003;56406,7438
62;5;2003;147084,0659
64;5;2003;452063,64
65;5;2003;122371,3104
66;5;2003;130728,785
71;5;2003;222990,6902
72;5;2003;317804,7955
73;5;2003;153775,7736
74;5;2003;201068,6662
75;5;2003;248031,6417
76;5;2003;73215,79321
77;5;2003;138833,4565
78;5;2003;120685,5143
79;5;2003;69807,08329
81;5;2003;64711,48902
82;5;2003;88690,45111
88;5;2003;90239,11536
89;5;2003;108661,1403
90;5;2003;172725,4631
91;5;2003;67833,13122
92;5;2003;7879,696214
93;5;2003;246426,2
94;5;2003;43586,81823
95;5;2003;32263,54843
96;5;2003;49437,30028
97;5;2003;17469,72368
98;5;2003;12459,20565
99;5;2003;25825,61078
100;5;2003;24512,55713
104;5;2003;19549,0179
105;5;2003;246016,4369
106;5;2003;43148,77284
107;5;2003;38417,55518
108;5;2003;91788,3426
109;5;2003;17260,50469
110;5;2003;144930,3851
111;5;2003;14377,6217
112;5;2003;15869,48619
118;5;2003;90234,56222
119;5;2003;51287,99902
120;5;2003;21288,76765
121;5;2003;25309,25952
122;5;2003;19441,59651
123;5;2003;175474,7688
124;5;2003;57910,26155
125;5;2003;69436,86285
126;5;2003;166396,7385
127;5;2003;20487,42041
128;5;2003;49471,01395
129;5;2003;16983,17331
134;5;2003;267625,4153
135;5;2003;22973,48727
136;5;2003;47808,71436
137;5;2003;27001,20618
138;5;2003;7787,164128
139;5;2003;16445,44141
140;5;2003;23396,14882
141;5;2003;37001,14073
142;5;2003;14714,32015
143;5;2003;121401,3924
144;5;2003;34143,83724
145;5;2003;29034,91099
146;5;2003;195925,9488
151;5;2003;175831,6668
152;5;2003;10499,61393
153;5;2003;19833,58321
154;5;2003;24094,26757
155;5;2003;8538,947435
156;5;2003;10431,85735
157;5;2003;10108,51198
158;5;2003;23381,80327
159;5;2003;50104,51606
165;5;2003;27756,63785
166;5;2003;131805,6316
167;5;2003;31623,92303
168;5;2003;16558,86722
1;6;2003;1550,142915
4;6;2003;29885,2084
5;6;2003;35770,44485
6;6;2003;76514,15207
7;6;2003;38782,0697
9;6;2003;129342,7415
10;6;2003;97827,92718
12;6;2003;86919,5109
13;6;2003;65827,41275
14;6;2003;84135,84574
15;6;2003;140571,973
16;6;2003;288453,8439
17;6;2003;76097,23221
18;6;2003;64171,32631
19;6;2003;132047,411
20;6;2003;155459,9439
21;6;2003;252300,4568
22;6;2003;227206,655
23;6;2003;87410,80134
24;6;2003;91923,34143
25;6;2003;123136,8144
26;6;2003;110329,8048
27;6;2003;180019,7507
28;6;2003;163201,0065
29;6;2003;99284,41061
30;6;2003;119217,4809
31;6;2003;150024,4273
32;6;2003;349710,486
33;6;2003;230276,0013
34;6;2003;405612,1586
35;6;2003;541434,9448
36;6;2003;295616,8617
37;6;2003;201438,1978
38;6;2003;197840,1287
39;6;2003;167149,7159
40;6;2003;105735,2873
41;6;2003;135580,8876
44;6;2003;112401,2901
48;6;2003;68801,43835
50;6;2003;89152,6664
51;6;2003;42315,10017
52;6;2003;173632,7059
53;6;2003;168138,6422
54;6;2003;444375,6896
55;6;2003;213133,8041
56;6;2003;258373,2586
57;6;2003;154786,1896
58;6;2003;341900,2666
59;6;2003;329520,6927
60;6;2003;264726,6866
61;6;2003;56452,89638
62;6;2003;147204,4116
64;6;2003;452140,0222
65;6;2003;122544,63
66;6;2003;130837,5206
71;6;2003;223276,4297
72;6;2003;318111,1305
73;6;2003;153923,9995
74;6;2003;201262,4782
75;6;2003;248270,7217
76;6;2003;73252,13378
77;6;2003;138902,3663
78;6;2003;120745,4164
79;6;2003;69841,73194
81;6;2003;64743,60849
82;6;2003;89075,16151
88;6;2003;90290,80435
89;6;2003;108785,0473
90;6;2003;172783,8969
91;6;2003;67878,63304
92;6;2003;7887,3433
93;6;2003;246555,9774
94;6;2003;43647,02301
95;6;2003;32287,83264
96;6;2003;49455,21864
97;6;2003;17475,07393
98;6;2003;12468,01987
99;6;2003;25858,44287
100;6;2003;24564,56397
104;6;2003;19557,05923
105;6;2003;246082,581
106;6;2003;43160,37385
107;6;2003;38447,68763
108;6;2003;91847,71856
109;6;2003;17263,56048
110;6;2003;145138,043
111;6;2003;14383,60459
112;6;2003;15886,96303
118;6;2003;90465,19854
119;6;2003;51335,91114
120;6;2003;21289,46719
121;6;2003;25410,15395
122;6;2003;19461,42104
123;6;2003;176132,2554
124;6;2003;58080,73406
125;6;2003;69630,51183
126;6;2003;166888,7814
127;6;2003;20559,71437
128;6;2003;49934,43315
129;6;2003;17043,14679
134;6;2003;267918,407
135;6;2003;22972,61995
136;6;2003;47841,73685
137;6;2003;26999,362
138;6;2003;7783,615575
139;6;2003;16460,23448
140;6;2003;23408,72828
141;6;2003;37007,40276
142;6;2003;14715,62616
143;6;2003;121492,7177
144;6;2003;34158,34565
145;6;2003;29075,91036
146;6;2003;196096,7148
151;6;2003;175903,2761
152;6;2003;10504,53382
153;6;2003;19833,54154
154;6;2003;24112,41806
155;6;2003;8543,016416
156;6;2003;10430,56249
157;6;2003;10110,59501
158;6;2003;23403,73002
159;6;2003;50151,36447
165;6;2003;27846,51313
166;6;2003;132198,8291
167;6;2003;31687,75777
168;6;2003;16568,72273
1;7;2003;1551,087237
4;7;2003;29903,414
5;7;2003;35792,23564
6;7;2003;76560,76328
7;7;2003;38805,69513
9;7;2003;129421,5351
10;7;2003;97887,52241
12;7;2003;86972,4609
13;7;2003;65867,51377
14;7;2003;84187,09997
15;7;2003;140657,6072
16;7;2003;288629,5655
17;7;2003;76143,58944
18;7;2003;64210,41847
19;7;2003;132127,8522
20;7;2003;155554,6476
21;7;2003;252454,1542
22;7;2003;227345,0658
23;7;2003;87464,05062
24;7;2003;91979,33968
25;7;2003;123211,8274
26;7;2003;110397,016
27;7;2003;180129,4159
28;7;2003;163300,4259
29;7;2003;99344,89311
30;7;2003;119290,1064
31;7;2003;150115,8198
32;7;2003;349923,5241
33;7;2003;230416,2818
34;7;2003;405859,2512
35;7;2003;513999,5709
36;7;2003;295796,9468
37;7;2003;201560,9108
38;7;2003;197960,6498
39;7;2003;167251,5409
40;7;2003;105799,6995
41;7;2003;135663,4813
43;7;2003;166987,9436
44;7;2003;112469,7632
48;7;2003;68895,62546
50;7;2003;89334,14711
51;7;2003;42364,6326
52;7;2003;173689,708
53;7;2003;168141,43
54;7;2003;444650,4176
55;7;2003;213347,523
56;7;2003;258458,0804
57;7;2003;154816,6094
58;7;2003;342012,5095
59;7;2003;329775,841
60;7;2003;264931,6649
61;7;2003;56496,60795
62;7;2003;147318,3922
64;7;2003;452215,5665
65;7;2003;122702,1454
66;7;2003;130940,4104
71;7;2003;223538,575
72;7;2003;318398,3971
73;7;2003;154062,9988
74;7;2003;201444,2259
75;7;2003;248494,9197
76;7;2003;73287,30583
77;7;2003;138969,0603
78;7;2003;120803,3924
79;7;2003;69875,26649
81;7;2003;64774,69516
82;7;2003;89354,52862
88;7;2003;90340,57628
89;7;2003;108899,8409
90;7;2003;172841,0487
91;7;2003;67922,15991
92;7;2003;7894,511155
93;7;2003;246681,3281
94;7;2003;43701,87272
95;7;2003;32310,93479
96;7;2003;49472,71591
97;7;2003;17480,31789
98;7;2003;12476,4307
99;7;2003;25888,58512
100;7;2003;24609,50078
104;7;2003;19564,88616
105;7;2003;246147,5713
106;7;2003;43171,77248
107;7;2003;38476,29199
108;7;2003;91904,60884
109;7;2003;17266,58114
110;7;2003;145326,5476
111;7;2003;14389,42612
112;7;2003;15903,19811
118;7;2003;90658,17308
119;7;2003;51380,93229
120;7;2003;21290,16524
121;7;2003;25485,59797
122;7;2003;19479,94061
123;7;2003;176633,6079
124;7;2003;58219,22958
125;7;2003;69789,71174
126;7;2003;167288,1185
127;7;2003;20615,81663
128;7;2003;50132,86466
129;7;2003;17089,67816
134;7;2003;268190,703
135;7;2003;22971,7505
136;7;2003;47873,28364
137;7;2003;26997,50963
138;7;2003;7779,961589
139;7;2003;16474,16787
140;7;2003;23420,8697
141;7;2003;37013,59598
142;7;2003;14716,92464
143;7;2003;121579,6002
144;7;2003;34172,45449
145;7;2003;29113,18238
146;7;2003;196257,8633
151;7;2003;175972,9951
152;7;2003;10509,30433
