cod_munic;munic;pop_munic;ano
3300159;Aperibé;9498;2007
3300209;Araruama;102303;2007
3300225;Areal;10943;2007
3300233;Armação dos Búzios;24336;2007
3300258;Arraial do Cabo;26503;2007
3300308;Barra do Piraí;92850;2007
3300407;Barra Mansa;175665;2007
3300456;Belford Roxo;458591;2007
3300506;Bom Jardim;24497;2007
3300605;Bom Jesus do Itabapoana;34875;2007
3300704;Cabo Frio;165957;2007
3300803;Cachoeiras de Macacu;52486;2007
3300902;Cambuci;14780;2007
3301009;Campos dos Goytacazes;445924;2007
3301108;Cantagalo;19831;2007
3300936;Carapebus;11732;2007
3301157;Cardoso Moreira;12598;2007
3301207;Carmo;16761;2007
3301306;Casimiro de Abreu;30723;2007
3300951;Comendador Levy Gasparian;8102;2007
3301405;Conceição de Macabu;20451;2007
3301504;Cordeiro;19863;2007
3301603;Duas Barras;10748;2007
3301702;Duque de Caxias;830349;2007
3301801;Engenheiro Paulo de Frontin;12906;2007
3301850;Guapimirim;46982;2007
3301876;Iguaba Grande;20176;2007
3301900;Itaboraí;208361;2007
3302007;Itaguaí;100139;2007
3302056;Italva;13614;2007
3302106;Itaocara;22930;2007
3302205;Itaperuna;93008;2007
3302254;Itatiaia;27505;2007
3302270;Japeri;91651;2007
3302304;Laje do Muriaé;7611;2007
3302403;Macaé;180886;2007
3302452;Macuco;5151;2007
3302502;Magé;220649;2007
3302601;Mangaratiba;32516;2007
3302700;Maricá;109463;2007
3302809;Mendes;17739;2007
3302858;Mesquita;168275;2007
3302908;Miguel Pereira;24418;2007
3303005;Miracema;26909;2007
3303104;Natividade;15095;2007
3303203;Nilópolis;156302;2007
3303302;Niterói;478953;2007
3303401;Nova Friburgo;179438;2007
3303500;Nova Iguaçu;786711;2007
3303609;Paracambi;45022;2007
3303708;Paraíba do Sul;39945;2007
3303807;Paraty;34933;2007
3303856;Paty do Alferes;25922;2007
3303906;Petrópolis;293071;2007
3303955;Pinheiral;21695;2007
3304003;Piraí;24978;2007
3304102;Porciúncula;17197;2007
3304110;Porto Real;15091;2007
3304128;Quatis;12136;2007
3304144;Queimados;132963;2007
3304151;Quissamã;17995;2007
3304201;Resende;114984;2007
3304300;Rio Bonito;53724;2007
3304409;Rio Claro;17057;2007
3304508;Rio das Flores;8269;2007
3304524;Rio das Ostras;76768;2007
3304557;Rio de Janeiro;6177974;2007
3304607;Santa Maria Madalena;10367;2007
3304706;Santo Antônio de Pádua;40010;2007
3304805;São Fidélis;37315;2007
3304755;São Francisco de Itabapoana;41291;2007
3304904;São Gonçalo;965824;2007
3305000;São João da Barra;31137;2007
3305109;São João de Meriti;455894;2007
3305133;São José de Ubá;6821;2007
3305158;São José do Vale do Rio Preto;19954;2007
3305208;São Pedro da Aldeia;79612;2007
3305307;São Sebastião do Alto;8744;2007
3305406;Sapucaia;17414;2007
3305505;Saquarema;66892;2007
3305554;Seropédica;74060;2007
3305604;Silva Jardim;21324;2007
3305703;Sumidouro;14679;2007
3305752;Tanguá;29248;2007
3305802;Teresópolis;155582;2007
3305901;Trajano de Moraes;10213;2007
3306008;Três Rios;75753;2007
3306107;Valença;70136;2007
3306156;Varre-Sai;8956;2007
3306206;Vassouras;33494;2007
3306305;Volta Redonda;252976;2007
3300100;Angra dos Reis;157997;2008
3300159;Aperibé;9731;2008
3300209;Araruama;105441;2008
3300225;Areal;11100;2008
3300233;Armação dos Búzios;25366;2008
3300258;Arraial do Cabo;26901;2008
3300308;Barra do Piraí;93488;2008
3300407;Barra Mansa;176378;2008
3300456;Belford Roxo;462144;2008
3300506;Bom Jardim;24772;2008
3300605;Bom Jesus do Itabapoana;35053;2008
3300704;Cabo Frio;172456;2008
3300803;Cachoeiras de Macacu;53075;2008
3300902;Cambuci;14795;2008
3301009;Campos dos Goytacazes;451783;2008
3301108;Cantagalo;19831;2008
3300936;Carapebus;12251;2008
3301157;Cardoso Moreira;12599;2008
3301207;Carmo;16982;2008
3301306;Casimiro de Abreu;32193;2008
3300951;Comendador Levy Gasparian;8128;2008
3301405;Conceição de Macabu;20701;2008
3301504;Cordeiro;20050;2008
3301603;Duas Barras;10808;2008
3301702;Duque de Caxias;838501;2008
3301801;Engenheiro Paulo de Frontin;13015;2008
3301850;Guapimirim;48437;2008
3301876;Iguaba Grande;21031;2008
