cod_munic;munic;pop_munic;mes;ano
3300308;Barra do Piraí;92322;9;2006
3300407;Barra Mansa;175073;9;2006
3300456;Belford Roxo;455653;9;2006
3300506;Bom Jardim;24270;9;2006
3300605;Bom Jesus do Itabapoana;34727;9;2006
3300704;Cabo Frio;160747;9;2006
3300803;Cachoeiras de Macacu;52001;9;2006
3300902;Cambuci;14767;9;2006
3301009;Campos dos Goytacazes;441106;9;2006
3301108;Cantagalo;19832;9;2006
3300936;Carapebus;11318;9;2006
3301157;Cardoso Moreira;12598;9;2006
3301207;Carmo;16579;9;2006
3301306;Casimiro de Abreu;29555;9;2006
3300951;Comendador Levy Gasparian;8081;9;2006
3301405;Conceição de Macabu;20245;9;2006
3301504;Cordeiro;19709;9;2006
3301603;Duas Barras;10698;9;2006
3301702;Duque de Caxias;823621;9;2006
3301801;Engenheiro Paulo de Frontin;12815;9;2006
3301850;Guapimirim;45807;9;2006
3301876;Iguaba Grande;19493;9;2006
3301900;Itaboraí;205761;9;2006
3302007;Itaguaí;97791;9;2006
3302056;Italva;13492;9;2006
3302106;Itaocara;22939;9;2006
3302205;Itaperuna;92237;9;2006
3302254;Itatiaia;27161;9;2006
3302270;Japeri;90613;9;2006
3302304;Laje do Muriaé;7646;9;2006
3302403;Macaé;174326;9;2006
3302452;Macuco;5119;9;2006
3302502;Magé;218832;9;2006
3302601;Mangaratiba;31503;9;2006
3302700;Maricá;104951;9;2006
3302809;Mendes;17685;9;2006
3302858;Mesquita;168248;9;2006
3302908;Miguel Pereira;24356;9;2006
3303005;Miracema;26928;9;2006
3303104;Natividade;15098;9;2006
3303203;Nilópolis;155991;9;2006
3303302;Niterói;476590;9;2006
3303401;Nova Friburgo;178711;9;2006
3303500;Nova Iguaçu;784080;9;2006
3303609;Paracambi;44456;9;2006
3303708;Paraíba do Sul;39635;9;2006
3303807;Paraty;34244;9;2006
3303856;Paty do Alferes;25802;9;2006
3303906;Petrópolis;292286;9;2006
3303955;Pinheiral;21419;9;2006
3304003;Piraí;24619;9;2006
3304102;Porciúncula;17044;9;2006
